"maker","cagr"
"BYD India","563.32495807107996982300"
"Hyundai Motor","246.41016151377545870500"
"MG Motor","123.60679774997896964100"
"Mahindra & Mahindra","123.60679774997896964100"
"Tata Motors","73.20508075688772935300"
