"state","cagr"
"Meghalaya","28.46907471704476318500"
"Goa","27.41019637797183773700"
"Karnataka","25.28358218747800076800"
"Delhi","22.88434738847984784100"
"Rajasthan","21.49738030649420138100"
"Gujarat","20.54567713183960957200"
"Assam","20.13367176104000193600"
"Mizoram","18.77159900880162436800"
"Arunachal Pradesh","18.30335870386853475700"
"Haryana","17.68043389485451757000"
